window,scene_id,time_start_ms,cloud_pct,date_utc
prefire,20241004T183221_20241004T184339_T11SLT,1728067503893,73.545796,2024-10-04 18:45:03.893
prefire,20241009T183149_20241009T183557_T11SLT,1728499501253,55.761397,2024-10-09 18:45:01.253
prefire,20241014T183331_20241014T183751_T11SLT,1728931502228,63.546932,2024-10-14 18:45:02.228
prefire,20241019T183309_20241019T184136_T11SLT,1729363503901,1.358264,2024-10-19 18:45:03.901
prefire,20241024T183441_20241024T184114_T11SLT,1729795503125,31.283563,2024-10-24 18:45:03.125
prefire,20241029T183409_20241029T184147_T11SLT,1730227503487,1.896772,2024-10-29 18:45:03.487
prefire,20241103T183531_20241103T183533_T11SLT,1730659501391,0.608405,2024-11-03 18:45:01.391
prefire,20241108T183459_20241108T184019_T11SLT,1731091496602,0.004297,2024-11-08 18:44:56.602
prefire,20241113T183621_20241113T183624_T11SLT,1731523502145,0.005869,2024-11-13 18:45:02.145
prefire,20241118T183549_20241118T184253_T11SLT,1731955501733,4.749931,2024-11-18 18:45:01.733
prefire,20241128T183639_20241128T184436_T11SLT,1732819504757,5.826819,2024-11-28 18:45:04.757
prefire,20241203T183741_20241203T183738_T11SLT,1733251503673,62.552637,2024-12-03 18:45:03.673
prefire,20241213T183801_20241213T183759_T11SLT,1734115503555,21.520735,2024-12-13 18:45:03.555
prefire,20241213T183831_20241213T184430_T11SLT,1734115530900,22.401913,2024-12-13 18:45:30.900
prefire,20241218T183709_20241218T183708_T11SLT,1734547503766,0.004997,2024-12-18 18:45:03.766
prefire,20250102T183751_20250102T183754_T11SLT,1735843502738,3.015763,2025-01-02 18:45:02.738
postfire,20250201T183631_20250201T184431_T11SLT,1738435530242,15.756986,2025-02-01 18:45:30.242
postfire,20250206T183439_20250206T184143_T11SLT,1738867504402,61.437315,2025-02-06 18:45:04.402
postfire,20250211T183531_20250211T183904_T11SLT,1739299528574,22.375652,2025-02-11 18:45:28.574
postfire,20250221T183421_20250221T183723_T11SLT,1740163525463,4.984134,2025-02-21 18:45:25.463
postfire,20250226T183229_20250226T184005_T11SLT,1740595506286,54.565293,2025-02-26 18:45:06.286
baseline_2022,20221005T183231_20221005T184449_T11SLT,1664995509950,49.402401,2022-10-05 18:45:09.950
baseline_2022,20221010T183259_20221010T184105_T11SLT,1665427501464,69.675565,2022-10-10 18:45:01.464
baseline_2022,20221020T183409_20221020T183814_T11SLT,1666291502537,52.913696,2022-10-20 18:45:02.537
baseline_2022,20221025T183441_20221025T183716_T11SLT,1666723505981,0.002947,2022-10-25 18:45:05.981
baseline_2022,20221030T183509_20221030T183709_T11SLT,1667155501622,0.003165,2022-10-30 18:45:01.622
baseline_2022,20221104T183541_20221104T184206_T11SLT,1667587507226,47.053549,2022-11-04 18:45:07.226
baseline_2022,20221109T183559_20221109T184129_T11SLT,1668019502204,13.309395,2022-11-09 18:45:02.204
baseline_2022,20221114T183631_20221114T183629_T11SLT,1668451505735,4.104141,2022-11-14 18:45:05.735
baseline_2022,20221119T183649_20221119T184412_T11SLT,1668883502826,0.32193,2022-11-19 18:45:02.826
baseline_2022,20221124T183711_20221124T183917_T11SLT,1669315502183,4.155056,2022-11-24 18:45:02.183
baseline_2022,20221129T183729_20221129T184237_T11SLT,1669747501712,19.726171,2022-11-29 18:45:01.712
baseline_2022,20221209T183749_20221209T183745_T11SLT,1670611499561,0.34697,2022-12-09 18:44:59.561
baseline_2022,20221214T183801_20221214T184111_T11SLT,1671043502908,6.925677,2022-12-14 18:45:02.908
baseline_2022,20221219T183759_20221219T183759_T11SLT,1671475501999,0.355039,2022-12-19 18:45:01.999
baseline_2022,20221224T183801_20221224T184116_T11SLT,1671907501122,1.159346,2022-12-24 18:45:01.122
baseline_2023,20231005T183129_20231005T183715_T11SLT,1696531502830,0.004552,2023-10-05 18:45:02.830
baseline_2023,20231010T183301_20231010T183649_T11SLT,1696963501814,43.729722,2023-10-10 18:45:01.814
baseline_2023,20231020T183411_20231020T184308_T11SLT,1697827502959,0.077817,2023-10-20 18:45:02.959
baseline_2023,20231030T183511_20231030T183902_T11SLT,1698691502467,6.617178,2023-10-30 18:45:02.467
baseline_2023,20231109T183601_20231109T184334_T11SLT,1699555502500,0.805916,2023-11-09 18:45:02.500
baseline_2023,20231114T183629_20231114T183852_T11SLT,1699987503061,6.771494,2023-11-14 18:45:03.061
baseline_2023,20231119T183651_20231119T183647_T11SLT,1700419500222,0.331824,2023-11-19 18:45:00.222
baseline_2023,20231124T183709_20231124T183711_T11SLT,1700851498410,11.310586,2023-11-24 18:44:58.410
baseline_2023,20231129T183721_20231129T183718_T11SLT,1701283494816,58.335906,2023-11-29 18:44:54.816
baseline_2023,20231209T183751_20231209T183746_T11SLT,1702147497775,67.046785,2023-12-09 18:44:57.775
baseline_2023,20231214T183759_20231214T184047_T11SLT,1702579501666,5.644709,2023-12-14 18:45:01.666
baseline_2023,20231224T183809_20231224T183804_T11SLT,1703443504429,26.302969,2023-12-24 18:45:04.429
baseline_2024,20241004T183221_20241004T184339_T11SLT,1728067503893,73.545796,2024-10-04 18:45:03.893
baseline_2024,20241009T183149_20241009T183557_T11SLT,1728499501253,55.761397,2024-10-09 18:45:01.253
baseline_2024,20241014T183331_20241014T183751_T11SLT,1728931502228,63.546932,2024-10-14 18:45:02.228
baseline_2024,20241019T183309_20241019T184136_T11SLT,1729363503901,1.358264,2024-10-19 18:45:03.901
baseline_2024,20241024T183441_20241024T184114_T11SLT,1729795503125,31.283563,2024-10-24 18:45:03.125
baseline_2024,20241029T183409_20241029T184147_T11SLT,1730227503487,1.896772,2024-10-29 18:45:03.487
baseline_2024,20241103T183531_20241103T183533_T11SLT,1730659501391,0.608405,2024-11-03 18:45:01.391
baseline_2024,20241108T183459_20241108T184019_T11SLT,1731091496602,0.004297,2024-11-08 18:44:56.602
baseline_2024,20241113T183621_20241113T183624_T11SLT,1731523502145,0.005869,2024-11-13 18:45:02.145
baseline_2024,20241118T183549_20241118T184253_T11SLT,1731955501733,4.749931,2024-11-18 18:45:01.733
baseline_2024,20241128T183639_20241128T184436_T11SLT,1732819504757,5.826819,2024-11-28 18:45:04.757
baseline_2024,20241203T183741_20241203T183738_T11SLT,1733251503673,62.552637,2024-12-03 18:45:03.673
baseline_2024,20241213T183801_20241213T183759_T11SLT,1734115503555,21.520735,2024-12-13 18:45:03.555
baseline_2024,20241213T183831_20241213T184430_T11SLT,1734115530900,22.401913,2024-12-13 18:45:30.900
baseline_2024,20241218T183709_20241218T183708_T11SLT,1734547503766,0.004997,2024-12-18 18:45:03.766
