,,,roc_auc,roc_auc,pr_auc,pr_auc,balanced_accuracy,balanced_accuracy,f1,f1,brier,brier
,,,mean,std,mean,std,mean,std,mean,std,mean,std
cv_scheme,model_block,learner,,,,,,,,,,
random,M0,logit,0.7088,0.0105,0.7367,0.0138,0.6617,0.0099,0.7057,0.0113,0.2169,0.0033
random,M0,xgb,0.8007,0.0036,0.8335,0.0091,0.7136,0.0063,0.7544,0.0059,0.1817,0.0012
random,M1,logit,0.7179,0.0113,0.7437,0.017,0.6735,0.0099,0.72,0.0118,0.2117,0.0037
random,M1,xgb,0.8906,0.0192,0.9125,0.0179,0.8037,0.0218,0.8267,0.0177,0.135,0.0124
random,M2,logit,0.7793,0.0113,0.8294,0.0088,0.7186,0.0097,0.7346,0.0094,0.192,0.0041
random,M2,xgb,0.8915,0.0089,0.9167,0.0073,0.8032,0.007,0.8183,0.0078,0.1339,0.0058
random,M3,logit,0.7982,0.01,0.843,0.0105,0.7265,0.0077,0.7471,0.0092,0.1838,0.0039
random,M3,xgb,0.9211,0.0067,0.938,0.0051,0.8419,0.0106,0.8591,0.0084,0.1121,0.0055
spatial,M0,logit,0.6917,0.0913,0.7018,0.1486,0.6434,0.059,0.667,0.1087,0.2244,0.0294
spatial,M0,xgb,0.6974,0.0573,0.6896,0.1147,0.6249,0.0596,0.6196,0.1204,0.2337,0.0366
spatial,M1,logit,0.6759,0.0682,0.664,0.1217,0.6406,0.0461,0.661,0.0947,0.227,0.0245
spatial,M1,xgb,0.7225,0.0593,0.7177,0.1209,0.6508,0.0488,0.644,0.1117,0.2265,0.0318
spatial,M2,logit,0.7339,0.1034,0.7449,0.1934,0.6787,0.0949,0.6517,0.2204,0.2074,0.0341
spatial,M2,xgb,0.7568,0.0608,0.773,0.1176,0.6793,0.0672,0.6616,0.1404,0.2106,0.0381
spatial,M3,logit,0.7558,0.0924,0.764,0.1654,0.698,0.0803,0.6955,0.1633,0.1988,0.0357
spatial,M3,xgb,0.7531,0.0598,0.7689,0.1131,0.6776,0.066,0.6608,0.149,0.2128,0.0423
