,coef,se,p,or,or_lo,or_hi
const,0.39571919448824344,0.025310354274924163,4.226173929823631e-55,1.4854521358334756,1.41355937101431,1.561001322688622
elevation_pt,-0.3246182181349557,0.040811660459551105,1.8050299610685548e-15,0.7228032541462445,0.6672376013169506,0.7829962567655556
slope_deg_pt,-0.054262449960476085,0.02522541526143284,0.031468122346714644,0.9471834856095919,0.9014918617147257,0.995190964569615
northness_pt,-0.05839742038355205,0.025450870263448496,0.021760896587748182,0.9432749962243118,0.8973752853523542,0.9915224243696529
eastness_pt,0.16130979104825244,0.024386542343264976,3.7229263912290775e-11,1.175048932075096,1.1202055195323317,1.232577387538013
tpi300_pt,0.34625574389187047,0.02673283383358183,2.2756775611229747e-38,1.413764131129122,1.3415952481298894,1.4898152190486669
dist_wildland_m,-0.325554392191131,0.04469175228183414,3.2300896553358646e-13,0.7221269011334629,0.6615628909765582,0.7882353566882514
ndvi_pre_r0_30,0.09394440544774789,0.057302827106891205,0.10112217048090441,1.098498673677635,0.981798548582988,1.2290701975605183
ndvi_pre_r30_100,0.5553464283587315,0.07819849834529186,1.2318415594158127e-12,1.7425445470699492,1.4949269930978373,2.0311771160349164
ndmi_pre_r0_30,0.0639492360128409,0.04431313564031673,0.14898626534752912,1.0660382810342914,0.9773558071777466,1.1627675492226026
ndmi_pre_r30_100,-0.32901233685115333,0.05788827996020739,1.319084228934634e-08,0.7196341386730581,0.6424454519066355,0.8060969098727079
ndmi_pre_r100_300,-0.6498417588846211,0.04915206562768803,6.6334302722803025e-40,0.5221283924034329,0.4741745351175696,0.5749318825950842
ndvi_anom_r0_30,-0.06327737491430577,0.03002212803033063,0.03505770939920045,0.9386830704399147,0.8850414969594512,0.9955758117078158
ndvi_anom_r30_100,-0.01996394346289698,0.03756819822997536,0.5951378792726649,0.9802340165137607,0.9106491228112874,1.0551360596103239
ndvi_anom_r100_300,-0.1671228301915546,0.04552858474427497,0.0002418652009813316,0.846095678859988,0.7738642129173382,0.9250691346571053
ndmi_anom_r0_30,-0.014390992385594655,0.031085549274043014,0.6434016515645646,0.9857120629966324,0.9274478903752247,1.047636510062013
ndmi_anom_r30_100,0.04359420786478422,0.038593503505260834,0.25865588389106264,1.0445583952929431,0.9684590692749094,1.1266374344492254
ndmi_anom_r100_300,0.3409000632153862,0.0533156050720833,1.6159975444026891e-10,1.406212701463891,1.2666827524346433,1.5611124079471534
lst_pre_r30_100,0.05424522316281972,0.03035875148811929,0.07396872224941335,1.0557434631655886,0.9947558689639318,1.1204701523176277
canopy_cover_r0_30,-0.12376505074456537,0.03927603543128935,0.0016262367634105126,0.8835874147023346,0.8181201420929585,0.9542934824010796
canopy_cover_r30_100,0.033308562465153575,0.041190166754959893,0.4187146224656162,1.0338695033511998,0.9536827935214713,1.1207984009156726
fuel_wildland_r0_30,0.031184119276733674,0.04122063779255873,0.4493391960492098,1.0316754377361645,0.951602064742671,1.1184866534688802
fuel_wildland_r100_300,-0.008116649822179111,0.06100466327240443,0.8941541050865869,0.9919162012397154,0.8801298814567636,1.1179006314991948
nn_building_dist_m,0.049886913054035656,0.028277551086650043,0.0777003516999245,1.051152218060274,0.9944782143360675,1.1110559986180286
footprint_area_m2,-0.025201300733713777,0.03033774269240594,0.40614800855439814,0.9751136011868642,0.9188216212321394,1.0348543321657255
bld_count_r30,0.22573384384111447,0.050430186622772884,7.59957078146656e-06,1.2532420627913916,1.135292898575538,1.3834453381328184
bld_count_r100,1.4166877304162708,0.06912613374791204,2.4232966694521366e-93,4.123439851459619,3.6009601141175502,4.721728558432537
dist_road_m,0.10589228230497709,0.027321195590073486,0.00010626229133857106,1.1117021200667772,1.0537368372847449,1.1728560301123858
road_len_r300_m_per_km2,0.03295563264395175,0.06281642540475711,0.5998376450193909,1.0335046843537747,0.9137808000790523,1.1689148343768987
dist_deadend_m,-0.23890379766401743,0.028985455961336243,1.690788536734956e-16,0.7874906371675953,0.7439992208842097,0.8335243992454924
yearbuilt,-0.1626606604262872,0.029827869369418402,4.9440375413122984e-08,0.8498795372476151,0.8016178472304464,0.9010468396227926
assessed_value_log,-0.07041941010400272,0.028372981472470984,0.013067738607704557,0.9320028465117971,0.8815879986787861,0.9853007382222596
