predictor,mean_abs_shap
bld_count_r300,0.977882
bld_count_r100,0.46378487
ndmi_pre_r100_300,0.35195038
elevation_pt,0.33886835
ndmi_anom_r100_300,0.30615774
nn_building_dist_m,0.28887445
tpi300_pt,0.27825043
dist_deadend_m,0.24965633
ndvi_pre_r30_100,0.2354148
road_len_r300_m_per_km2,0.21054232
yearbuilt,0.20548812
bld_count_r30,0.20334552
ndvi_pre_r0_30,0.19919808
lst_pre_r30_100,0.19634217
canopy_cover_r100_300,0.1773138
lst_pre_r100_300,0.1681834
ndmi_pre_r30_100,0.15846801
footprint_area_m2,0.14979799
dist_wildland_m,0.14354806
fuel_wildland_r100_300,0.13524128
eastness_pt,0.13476025
ndvi_pre_r100_300,0.13461497
fuel_wildland_r30_100,0.12879092
assessed_value_log,0.12786905
ndvi_anom_r0_30,0.12730913
ndmi_anom_r30_100,0.10040813
ndvi_anom_r30_100,0.10031075
tri_pt,0.097413205
ndvi_anom_r100_300,0.09407061
slope_deg_pt,0.08828179
dist_road_m,0.080490336
northness_pt,0.07589462
ndmi_anom_r0_30,0.073442504
ndmi_pre_r0_30,0.06927395
canopy_cover_r30_100,0.059741598
canopy_cover_r0_30,0.026828501
fuel_wildland_r0_30,0.017143996
