cv_scheme,model_block,learner,roc_auc,pr_auc,balanced_accuracy,f1,brier
random,M0,logit,0.709 (0.01),0.737 (0.014),0.662 (0.01),0.706 (0.011),0.217 (0.003)
random,M0,xgb,0.801 (0.004),0.834 (0.009),0.714 (0.006),0.754 (0.006),0.182 (0.001)
random,M1,logit,0.718 (0.011),0.744 (0.017),0.673 (0.01),0.72 (0.012),0.212 (0.004)
random,M1,xgb,0.891 (0.019),0.913 (0.018),0.804 (0.022),0.827 (0.018),0.135 (0.012)
random,M2,logit,0.779 (0.011),0.829 (0.009),0.719 (0.01),0.735 (0.009),0.192 (0.004)
random,M2,xgb,0.892 (0.009),0.917 (0.007),0.803 (0.007),0.818 (0.008),0.134 (0.006)
random,M3,logit,0.798 (0.01),0.843 (0.011),0.727 (0.008),0.747 (0.009),0.184 (0.004)
random,M3,xgb,0.921 (0.007),0.938 (0.005),0.842 (0.011),0.859 (0.008),0.112 (0.005)
spatial,M0,logit,0.692 (0.091),0.702 (0.149),0.643 (0.059),0.667 (0.109),0.224 (0.029)
spatial,M0,xgb,0.697 (0.057),0.69 (0.115),0.625 (0.06),0.62 (0.12),0.234 (0.037)
spatial,M1,logit,0.676 (0.068),0.664 (0.122),0.641 (0.046),0.661 (0.095),0.227 (0.025)
spatial,M1,xgb,0.722 (0.059),0.718 (0.121),0.651 (0.049),0.644 (0.112),0.227 (0.032)
spatial,M2,logit,0.734 (0.103),0.745 (0.193),0.679 (0.095),0.652 (0.22),0.207 (0.034)
spatial,M2,xgb,0.757 (0.061),0.773 (0.118),0.679 (0.067),0.662 (0.14),0.211 (0.038)
spatial,M3,logit,0.756 (0.092),0.764 (0.165),0.698 (0.08),0.696 (0.163),0.199 (0.036)
spatial,M3,xgb,0.753 (0.06),0.769 (0.113),0.678 (0.066),0.661 (0.149),0.213 (0.042)
