Variable,OR per SD,95% CI,p,Mean |SHAP| (XGB),SHAP rank
bld_count_r100,4.123,"(3.601, 4.722)",<0.001,0.464,2
ndvi_pre_r30_100,1.743,"(1.495, 2.031)",<0.001,0.235,9
tpi300_pt,1.414,"(1.342, 1.49)",<0.001,0.278,7
ndmi_anom_r100_300,1.406,"(1.267, 1.561)",<0.001,0.306,5
bld_count_r30,1.253,"(1.135, 1.383)",<0.001,0.203,12
eastness_pt,1.175,"(1.12, 1.233)",<0.001,0.135,21
dist_road_m,1.112,"(1.054, 1.173)",<0.001,0.08,31
ndvi_pre_r0_30,1.098,"(0.982, 1.229)",0.101,0.199,13
ndmi_pre_r0_30,1.066,"(0.977, 1.163)",0.149,0.069,34
lst_pre_r30_100,1.056,"(0.995, 1.12)",0.074,0.196,14
nn_building_dist_m,1.051,"(0.994, 1.111)",0.078,0.289,6
ndmi_anom_r30_100,1.045,"(0.968, 1.127)",0.259,0.1,26
canopy_cover_r30_100,1.034,"(0.954, 1.121)",0.419,0.06,35
road_len_r300_m_per_km2,1.034,"(0.914, 1.169)",0.600,0.211,10
fuel_wildland_r0_30,1.032,"(0.952, 1.118)",0.449,0.017,37
fuel_wildland_r100_300,0.992,"(0.88, 1.118)",0.894,0.135,20
ndmi_anom_r0_30,0.986,"(0.927, 1.048)",0.643,0.073,33
ndvi_anom_r30_100,0.98,"(0.911, 1.055)",0.595,0.1,27
footprint_area_m2,0.975,"(0.919, 1.035)",0.406,0.15,18
slope_deg_pt,0.947,"(0.901, 0.995)",0.031,0.088,30
northness_pt,0.943,"(0.897, 0.992)",0.022,0.076,32
ndvi_anom_r0_30,0.939,"(0.885, 0.996)",0.035,0.127,25
assessed_value_log,0.932,"(0.882, 0.985)",0.013,0.128,24
canopy_cover_r0_30,0.884,"(0.818, 0.954)",0.002,0.027,36
yearbuilt,0.85,"(0.802, 0.901)",<0.001,0.205,11
ndvi_anom_r100_300,0.846,"(0.774, 0.925)",<0.001,0.094,29
dist_deadend_m,0.787,"(0.744, 0.834)",<0.001,0.25,8
elevation_pt,0.723,"(0.667, 0.783)",<0.001,0.339,4
dist_wildland_m,0.722,"(0.662, 0.788)",<0.001,0.144,19
ndmi_pre_r30_100,0.72,"(0.642, 0.806)",<0.001,0.158,17
ndmi_pre_r100_300,0.522,"(0.474, 0.575)",<0.001,0.352,3
