period,severity,ndvi,n_scenes
2025-02,0,0.2487344653899029,5
2025-02,1,0.24945367346081626,5
2025-02,2,0.2235345794789917,5
2025-02,3,0.20382055986627226,5
2025-03,0,0.2863599843373541,7
2025-03,1,0.3084908221128959,7
2025-03,2,0.28394326910489065,7
2025-03,3,0.24183475016782677,7
2025-04,0,0.29327791298127875,8
2025-04,1,0.3526716323685841,8
2025-04,2,0.37353960289855,8
2025-04,3,0.35464688463384425,8
2025-05,0,0.2526849387982553,5
2025-05,1,0.3292310334436897,5
2025-05,2,0.401684826144347,5
2025-05,3,0.4756859945682083,5
2025-06,0,0.22513068535947459,6
2025-06,1,0.2797522863029105,6
2025-06,2,0.3353959640538199,6
2025-06,3,0.4219836537966769,6
2025-07,0,0.2229910530195912,7
2025-07,1,0.2690372719133169,7
2025-07,2,0.31057134698117383,7
2025-07,3,0.39061752794921706,7
2025-08,0,0.21487494022972717,8
2025-08,1,0.2528390212243842,8
2025-08,2,0.28315660915577223,8
2025-08,3,0.34791639055344037,8
2025-09,0,0.21106925267315588,6
2025-09,1,0.2489085484344574,6
2025-09,2,0.27733187516005464,6
2025-09,3,0.3466512491543035,6
2025-10,0,0.24780720252755328,7
2025-10,1,0.2880329575661313,7
2025-10,2,0.31708188691248235,7
2025-10,3,0.40655700652695054,7
2025-11,0,0.3026907673555431,8
2025-11,1,0.3766009216410748,8
2025-11,2,0.4508574716542428,8
2025-11,3,0.6015134577860781,8
2025-12,0,0.34489276834070254,6
2025-12,1,0.45461693140414333,6
2025-12,2,0.5622356177671419,6
2025-12,3,0.7228059908378461,6
2026-01,0,0.3757778191568739,5
2026-01,1,0.5092786525339564,5
2026-01,2,0.639203382282418,5
2026-01,3,0.7886672633833276,5
2026-02,0,0.34293218434470935,5
2026-02,1,0.481355015675553,5
2026-02,2,0.6270475799646494,5
2026-02,3,0.7893654885350107,5
2026-03,0,0.3122146190465581,7
2026-03,1,0.4314408218660855,7
2026-03,2,0.5689853488167067,7
2026-03,3,0.7225360008536605,7
2026-04,0,0.27331015391144686,8
2026-04,1,0.36388986346065977,8
2026-04,2,0.47574725905747883,8
2026-04,3,0.6250236180214768,8
2026-05,0,0.2422652112774954,5
2026-05,1,0.3112089275690566,5
2026-05,2,0.39652430609981015,5
2026-05,3,0.5162880002302052,5
2026-06,0,0.2291126595936732,7
2026-06,1,0.2899496111806403,7
2026-06,2,0.36416791418301725,7
2026-06,3,0.47044386878728656,7
2026-07,0,0.21615216078693228,7
2026-07,1,0.2683033219722691,7
2026-07,2,0.3293577437542797,7
2026-07,3,0.41331669704330287,7
clim-01,0,0.3437249433059191,-1
clim-01,1,0.45394855466784123,-1
clim-01,2,0.5516526701156035,-1
clim-01,3,0.6866480578965171,-1
clim-02,0,0.33895754797114824,-1
clim-02,1,0.46001568109093705,-1
clim-02,2,0.564264753808697,-1
clim-02,3,0.695652340450775,-1
clim-03,0,0.3213344541253675,-1
clim-03,1,0.4448479508581967,-1
clim-03,2,0.5672772547549566,-1
clim-03,3,0.7088247220058926,-1
clim-04,0,0.3129730998757726,-1
clim-04,1,0.43426126379991714,-1
clim-04,2,0.5607425820419145,-1
clim-04,3,0.7015639014671088,-1
clim-05,0,0.28323160122202673,-1
clim-05,1,0.39370060605727597,-1
clim-05,2,0.5160221350674639,-1
clim-05,3,0.6721674452325491,-1
clim-06,0,0.259010113999161,-1
clim-06,1,0.3633715403229122,-1
clim-06,2,0.49039355779450955,-1
clim-06,3,0.6498871528693244,-1
clim-07,0,0.24612447667902243,-1
clim-07,1,0.3462146196372365,-1
clim-07,2,0.4665606500367842,-1
clim-07,3,0.642605623387968,-1
clim-08,0,0.25604493813454926,-1
clim-08,1,0.3499117171295993,-1
clim-08,2,0.4570847028529105,-1
clim-08,3,0.6255995722466396,-1
clim-09,0,0.2597059508728317,-1
clim-09,1,0.34808294096931647,-1
clim-09,2,0.4426342822598523,-1
clim-09,3,0.6069733110308909,-1
clim-10,0,0.29100421053045133,-1
clim-10,1,0.3869810700836591,-1
clim-10,2,0.4871869461425779,-1
clim-10,3,0.6487622210104551,-1
clim-11,0,0.3088250324761331,-1
clim-11,1,0.4053530815672799,-1
clim-11,2,0.5067212826323761,-1
clim-11,3,0.6718029837183743,-1
clim-12,0,0.3197630435126226,-1
clim-12,1,0.42279140420099603,-1
clim-12,2,0.5137838025616159,-1
clim-12,3,0.6626104686248216,-1
