GEOID,n_inspected,n_destroyed,destroyed_rate,med_dist_fire_m,med_dist_hosp_m,svi_overall,svi_ses,svi_household,svi_minority,svi_housing_transport,pct_no_vehicle,pct_age65,pct_pov150,pop_total
06037800504,589.0,313.0,0.5314091680814941,1191.6388393630095,16420.88603406658,0.1617,0.0788,0.0526,0.0249,0.7591,3.6,33.5,12.6,1890.0
06037800506,1320.0,796.0,0.603030303030303,2850.173190745515,12965.777037973316,0.1083,0.0376,0.1211,0.0795,0.4719,4.8,30.7,8.1,3393.0
06037800104,250.0,29.0,0.116,2923.825340647078,15377.08967319307,0.2554,0.3639,0.4049,0.1016,0.194,0.0,21.7,9.9,3665.0
06037262501,1374.0,1238.0,0.901018922852984,689.359855227523,6256.81274381383,0.1385,0.0424,0.4354,0.0096,0.3242,1.5,18.5,5.4,3709.0
06037262400,321.0,25.0,0.0778816199376947,4047.206056324168,5982.67336784275,0.0894,0.0069,0.1869,0.0356,0.443,5.9,29.0,1.7,2900.0
06037980019,18.0,11.0,0.6111111111111112,3454.515196339463,10811.308235855671,0.0035,0.2625,0.0243,0.0,0.0,0.0,31.6,17.7,79.0
06037262604,2304.0,1081.0,0.4691840277777778,2171.771037619122,8770.051626771941,0.0735,0.0563,0.1527,0.047,0.2417,3.7,25.0,11.0,5763.0
06037262802,180.0,14.0,0.07777777777777778,1982.0147128652438,5425.160394127623,0.0417,0.1003,0.2104,0.0501,0.0606,2.1,31.6,7.5,3512.0
06037262301,29.0,0.0,0.0,7394.255233017926,9532.20941790102,0.1302,0.1642,0.1744,0.128,0.2301,1.8,25.8,9.9,2806.0
06037262601,980.0,208.0,0.21224489795918366,5180.964296742652,12941.55178846653,0.0454,0.0157,0.1756,0.1147,0.1798,1.5,23.4,5.2,3330.0
06037262704,1287.0,955.0,0.7420357420357421,1930.6464327394392,7510.521301948133,0.2385,0.0668,0.25,0.0721,0.7262,3.1,21.7,6.6,3590.0
06037262706,1231.0,896.0,0.7278635255889521,1143.6372791944361,6557.380578553986,0.1357,0.0287,0.772,0.0083,0.1557,3.3,22.6,5.0,3492.0
